mac_cliente,mac_ap,banda,antena,rssi,date,time
160.211.122.242.205.173,0.66.104.213.240.0,0,0,-95,2018-10-12,11:05
160.211.122.242.205.173,0.66.104.213.240.0,0,1,-95,2018-10-12,11:05
160.211.122.242.205.173,44.208.45.106.167.16,0,0,-46,2018-10-12,11:05
160.211.122.242.205.173,44.208.45.106.167.16,0,1,-37,2018-10-12,11:05
160.211.122.242.205.173,44.208.45.125.172.128,0,0,-68,2018-10-12,11:05
160.211.122.242.205.173,44.208.45.125.172.128,0,1,-65,2018-10-12,11:05
160.211.122.242.205.173,44.208.45.125.172.128,1,0,-85,2018-10-12,11:05
160.211.122.242.205.173,44.208.45.125.172.128,1,1,-78,2018-10-12,11:05
160.211.122.242.205.173,44.208.45.127.67.64,0,0,-89,2018-10-12,11:05
160.211.122.242.205.173,44.208.45.127.67.64,0,1,-91,2018-10-12,11:05
160.211.122.242.205.173,44.208.45.127.103.160,0,0,-81,2018-10-12,11:05
160.211.122.242.205.173,44.208.45.127.103.160,0,1,-80,2018-10-12,11:05
172.253.206.125.31.69,0.66.104.213.240.0,0,0,-98,2018-10-12,11:05
172.253.206.125.31.69,0.66.104.213.240.0,0,1,-97,2018-10-12,11:05
172.253.206.125.31.69,44.208.45.106.167.16,0,0,-51,2018-10-12,11:05
172.253.206.125.31.69,44.208.45.106.167.16,0,1,-48,2018-10-12,11:05
172.253.206.125.31.69,44.208.45.106.167.16,1,0,-71,2018-10-12,11:05
172.253.206.125.31.69,44.208.45.106.167.16,1,1,-65,2018-10-12,11:05
172.253.206.125.31.69,44.208.45.125.172.128,0,0,-37,2018-10-12,11:05
172.253.206.125.31.69,44.208.45.125.172.128,0,1,-37,2018-10-12,11:05
172.253.206.125.31.69,44.208.45.125.172.128,1,0,-57,2018-10-12,11:05
172.253.206.125.31.69,44.208.45.125.172.128,1,1,-53,2018-10-12,11:05
172.253.206.125.31.69,44.208.45.127.67.64,0,0,-90,2018-10-12,11:05
172.253.206.125.31.69,44.208.45.127.67.64,0,1,-92,2018-10-12,11:05
172.253.206.125.31.69,44.208.45.127.103.160,0,0,-79,2018-10-12,11:05
172.253.206.125.31.69,44.208.45.127.103.160,0,1,-89,2018-10-12,11:05
224.118.208.87.137.208,0.66.104.213.240.0,0,0,-59,2018-10-12,11:05
224.118.208.87.137.208,0.66.104.213.240.0,0,1,-60,2018-10-12,11:05
224.118.208.87.137.208,0.66.104.213.240.0,1,0,-68,2018-10-12,11:05
224.118.208.87.137.208,0.66.104.213.240.0,1,1,-70,2018-10-12,11:05
224.118.208.87.137.208,44.208.45.106.167.16,0,0,-89,2018-10-12,11:05
224.118.208.87.137.208,44.208.45.106.167.16,0,1,-87,2018-10-12,11:05
224.118.208.87.137.208,44.208.45.125.172.128,0,0,-96,2018-10-12,11:05
224.118.208.87.137.208,44.208.45.125.172.128,0,1,-97,2018-10-12,11:05
224.118.208.87.137.208,44.208.45.127.67.64,0,0,-53,2018-10-12,11:05
224.118.208.87.137.208,44.208.45.127.67.64,0,1,-42,2018-10-12,11:05
224.118.208.87.137.208,44.208.45.127.67.64,1,0,-71,2018-10-12,11:05
224.118.208.87.137.208,44.208.45.127.67.64,1,1,-65,2018-10-12,11:05
224.118.208.87.137.208,44.208.45.127.103.160,0,0,-95,2018-10-12,11:05
224.118.208.87.137.208,44.208.45.127.103.160,0,1,-96,2018-10-12,11:05
232.147.9.158.182.246,0.66.104.213.240.0,0,0,-96,2018-10-12,11:05
232.147.9.158.182.246,0.66.104.213.240.0,0,1,-98,2018-10-12,11:05
232.147.9.158.182.246,44.208.45.106.167.16,0,0,-49,2018-10-12,11:05
232.147.9.158.182.246,44.208.45.106.167.16,0,1,-55,2018-10-12,11:05
232.147.9.158.182.246,44.208.45.125.172.128,0,0,-82,2018-10-12,11:05
232.147.9.158.182.246,44.208.45.125.172.128,0,1,-79,2018-10-12,11:05
232.147.9.158.182.246,44.208.45.127.67.64,0,0,-99,2018-10-12,11:05
232.147.9.158.182.246,44.208.45.127.67.64,0,1,-98,2018-10-12,11:05
232.147.9.158.182.246,44.208.45.127.103.160,0,0,-84,2018-10-12,11:05
232.147.9.158.182.246,44.208.45.127.103.160,0,1,-84,2018-10-12,11:05
0.22.235.183.118.194,0.66.104.213.240.0,0,0,-97,2018-10-12,15:05
0.22.235.183.118.194,0.66.104.213.240.0,0,1,-99,2018-10-12,15:05
0.22.235.183.118.194,44.208.45.106.167.16,0,0,-98,2018-10-12,15:05
0.22.235.183.118.194,44.208.45.106.167.16,0,1,-96,2018-10-12,15:05
0.22.235.183.118.194,44.208.45.106.167.16,1,0,-76,2018-10-12,15:05
0.22.235.183.118.194,44.208.45.106.167.16,1,1,-67,2018-10-12,15:05
0.22.235.183.118.194,44.208.45.125.172.128,0,0,-76,2018-10-12,15:05
0.22.235.183.118.194,44.208.45.125.172.128,0,1,-73,2018-10-12,15:05
0.22.235.183.118.194,44.208.45.127.67.64,0,0,-97,2018-10-12,15:05
0.22.235.183.118.194,44.208.45.127.67.64,0,1,-96,2018-10-12,15:05
0.22.235.183.118.194,44.208.45.127.103.160,0,0,-75,2018-10-12,15:05
0.22.235.183.118.194,44.208.45.127.103.160,0,1,-66,2018-10-12,15:05
