mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index,timestamp_real,timeframe
8.212.12.130.83.142,44.208.45.127.103.160,0,0,-97.0,2018-11-08,11:05:00,54.0,5.0,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.127.103.160,0,1,-97.0,2018-11-08,11:05:00,54.0,5.0,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.127.103.160,1,0,-101.0,2018-11-08,11:05:00,,,2018-11-08 11:05:00,28
8.212.12.130.83.142,44.208.45.127.103.160,1,1,-101.0,2018-11-08,11:05:00,,,2018-11-08 11:05:00,28
0.135.1.143.215.55,0.66.104.213.240.0,0,0,-101.0,2018-11-06,15:05:00,,,2018-11-06 15:05:00,29
0.135.1.143.215.55,0.66.104.213.240.0,0,1,-101.0,2018-11-06,15:05:00,,,2018-11-06 15:05:00,29
0.135.1.143.215.55,0.66.104.213.240.0,1,0,-101.0,2018-11-06,15:05:00,,,2018-11-06 15:05:00,29
0.135.1.143.215.55,0.66.104.213.240.0,1,1,-101.0,2018-11-06,15:05:00,,,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.106.167.16,0,0,-85.0,2018-11-06,15:05:00,1.0,9.0,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.106.167.16,0,1,-89.0,2018-11-06,15:05:00,1.0,9.0,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.106.167.16,1,0,-101.0,2018-11-06,15:05:00,,,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.106.167.16,1,1,-101.0,2018-11-06,15:05:00,,,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.125.172.128,0,0,-93.0,2018-11-06,15:05:00,1.0,9.0,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.125.172.128,0,1,-97.0,2018-11-06,15:05:00,1.0,9.0,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.125.172.128,1,0,-101.0,2018-11-06,15:05:00,,,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.125.172.128,1,1,-101.0,2018-11-06,15:05:00,,,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.127.67.64,0,0,-101.0,2018-11-06,15:05:00,,,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.127.67.64,0,1,-101.0,2018-11-06,15:05:00,,,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.127.67.64,1,0,-101.0,2018-11-06,15:05:00,,,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.127.67.64,1,1,-101.0,2018-11-06,15:05:00,,,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.127.103.160,0,0,-60.0,2018-11-06,15:05:00,1.0,9.0,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.127.103.160,0,1,-65.0,2018-11-06,15:05:00,1.0,9.0,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.127.103.160,1,0,-101.0,2018-11-06,15:05:00,,,2018-11-06 15:05:00,29
0.135.1.143.215.55,44.208.45.127.103.160,1,1,-101.0,2018-11-06,15:05:00,,,2018-11-06 15:05:00,29
0.22.235.183.118.194,0.66.104.213.240.0,0,0,-97.0,2018-11-05,15:05:00,2.0,8.0,2018-11-05 15:05:00,29
0.22.235.183.118.194,0.66.104.213.240.0,0,1,-98.0,2018-11-05,15:05:00,2.0,8.0,2018-11-05 15:05:00,29
0.22.235.183.118.194,0.66.104.213.240.0,1,0,-101.0,2018-11-05,15:05:00,,,2018-11-05 15:05:00,29
0.22.235.183.118.194,0.66.104.213.240.0,1,1,-101.0,2018-11-05,15:05:00,,,2018-11-05 15:05:00,29
0.22.235.183.118.194,44.208.45.106.167.16,0,0,-82.0,2018-11-05,15:05:00,2.0,8.0,2018-11-05 15:05:00,29
0.22.235.183.118.194,44.208.45.106.167.16,0,1,-79.0,2018-11-05,15:05:00,2.0,8.0,2018-11-05 15:05:00,29
0.22.235.183.118.194,44.208.45.106.167.16,1,0,-90.0,2018-11-05,15:05:00,2.0,8.0,2018-11-05 15:05:00,29
0.22.235.183.118.194,44.208.45.106.167.16,1,1,-95.0,2018-11-05,15:05:00,2.0,8.0,2018-11-05 15:05:00,29
0.22.235.183.118.194,44.208.45.125.172.128,0,0,-46.0,2018-11-05,15:05:00,2.0,8.0,2018-11-05 15:05:00,29
